parameter,value,unit
center_distance_mm,4,mm
shield_to_gnd_conductor_min_distance_mm,1.375,mm
external_chi,2.38208651301545,-
internal_capacitance_f_per_m,2e-10,F/m
internal_inductance_h_per_m,1.44725553596985e-07,H/m
internal_z0_ohm,26.9003302579155,ohm
internal_velocity_factor,0.62,-
internal_one_way_delay_s,3.22803963094986e-08,s
internal_quarter_wave_hz,7744638.49833333,Hz
external_capacitance_f_per_m,5.13799584895802e-11,F/m
external_inductance_h_per_m,4.76417302603089e-07,H/m
external_z0_ohm,96.2934813804096,ohm
external_velocity_factor,0.674199862463242,-
external_one_way_delay_s,2.96853304578956e-08,s
external_quarter_wave_hz,8421668.08129655,Hz
pair_bundle_resistance_ohm_per_m,0.0189,ohm/m
internal_loop_resistance_ohm,0.2634,ohm
external_loop_resistance_ohm,0.36,ohm
capacitor_parallel_low_frequency_uF,20,uF
capacitor_parallel_equal_esr_ohm,0.025,ohm
capacitor_parallel_equal_esl_nH,10,nH
estimated_low_frequency_series_resonance_hz,18409.9193699339,Hz
differential_one_way_delay_s,3.12716339248268e-08,s
differential_quarter_wave_hz,7994465.54666667,Hz
differential_half_wave_hz,15988931.0933333,Hz
